"Time","Amplitude"
"0d 00:00:00.000","-184.400287E-6"
"0d 00:00:00.001","-51.817747E-6"
"0d 00:00:00.002","7.595435E-6"
"0d 00:00:00.003","-20.170100E-6"
"0d 00:00:00.004","-192.080116E-6"
"0d 00:00:00.005","-535.478179E-6"
"0d 00:00:00.006","-992.470194E-6"
"0d 00:00:00.007","-1.494950E-3"
"0d 00:00:00.008","-1.963251E-3"
"0d 00:00:00.009","-2.302345E-3"
"0d 00:00:00.010","-2.463706E-3"
"0d 00:00:00.011","-2.430792E-3"
"0d 00:00:00.012","-2.210356E-3"
"0d 00:00:00.013","-1.837758E-3"
"0d 00:00:00.014","-1.397391E-3"
"0d 00:00:00.015","-1.001416E-3"
"0d 00:00:00.016","-686.880520E-6"
"0d 00:00:00.017","-430.070418E-6"
"0d 00:00:00.018","-220.352013E-6"
"0d 00:00:00.019","-70.046791E-6"
"0d 00:00:00.020","-55.024708E-6"
"0d 00:00:00.021","-291.327135E-6"
"0d 00:00:00.022","-822.670022E-6"
"0d 00:00:00.023","-1.566854E-3"
"0d 00:00:00.024","-2.321081E-3"
"0d 00:00:00.025","-2.856137E-3"
"0d 00:00:00.026","-3.063408E-3"
"0d 00:00:00.027","-2.984246E-3"
"0d 00:00:00.028","-2.728871E-3"
"0d 00:00:00.029","-2.380072E-3"
"0d 00:00:00.030","-2.006967E-3"
"0d 00:00:00.031","-1.712011E-3"
"0d 00:00:00.032","-1.539426E-3"
"0d 00:00:00.033","-1.389205E-3"
"0d 00:00:00.034","-1.098722E-3"
"0d 00:00:00.035","-610.082231E-6"
"0d 00:00:00.036","-42.787618E-6"
"0d 00:00:00.037","408.887593E-6"
"0d 00:00:00.038","646.287138E-6"
"0d 00:00:00.039","674.896611E-6"
"0d 00:00:00.040","521.806396E-6"
"0d 00:00:00.041","308.459061E-6"
"0d 00:00:00.042","234.023797E-6"
"0d 00:00:00.043","403.823969E-6"
"0d 00:00:00.044","773.215299E-6"
"0d 00:00:00.045","1.200163E-3"
"0d 00:00:00.046","1.560440E-3"
"0d 00:00:00.047","1.789231E-3"
"0d 00:00:00.048","1.851092E-3"
"0d 00:00:00.049","1.808558E-3"
"0d 00:00:00.050","1.806363E-3"
"0d 00:00:00.051","1.893120E-3"
"0d 00:00:00.052","1.956500E-3"
"0d 00:00:00.053","1.889660E-3"
"0d 00:00:00.054","1.699943E-3"
"0d 00:00:00.055","1.422034E-3"
"0d 00:00:00.056","1.092814E-3"
"0d 00:00:00.057","781.148309E-6"
"0d 00:00:00.058","564.762801E-6"
"0d 00:00:00.059","498.766909E-6"
"0d 00:00:00.060","572.780205E-6"
"0d 00:00:00.061","743.255527E-6"
"0d 00:00:00.062","984.284003E-6"
"0d 00:00:00.063","1.264556E-3"
"0d 00:00:00.064","1.559005E-3"
"0d 00:00:00.065","1.869152E-3"
"0d 00:00:00.066","2.189173E-3"
"0d 00:00:00.067","2.477800E-3"
"0d 00:00:00.068","2.675112E-3"
"0d 00:00:00.069","2.741277E-3"
"0d 00:00:00.070","2.661019E-3"
"0d 00:00:00.071","2.429442E-3"
"0d 00:00:00.072","2.076845E-3"
"0d 00:00:00.073","1.708129E-3"
"0d 00:00:00.074","1.448365E-3"
"0d 00:00:00.075","1.332999E-3"
"0d 00:00:00.076","1.301351E-3"
"0d 00:00:00.077","1.285232E-3"
"0d 00:00:00.078","1.264471E-3"
"0d 00:00:00.079","1.237128E-3"
"0d 00:00:00.080","1.216198E-3"
"0d 00:00:00.081","1.246495E-3"
"0d 00:00:00.082","1.354941E-3"
"0d 00:00:00.083","1.535881E-3"
"0d 00:00:00.084","1.736654E-3"
"0d 00:00:00.085","1.808811E-3"
"0d 00:00:00.086","1.602046E-3"
"0d 00:00:00.087","1.098975E-3"
"0d 00:00:00.088","404.245938E-6"
"0d 00:00:00.089","-317.489190E-6"
"0d 00:00:00.090","-896.261349E-6"
"0d 00:00:00.091","-1.214763E-3"
"0d 00:00:00.092","-1.248099E-3"
"0d 00:00:00.093","-1.052980E-3"
"0d 00:00:00.094","-729.836925E-6"
"0d 00:00:00.095","-405.765025E-6"
"0d 00:00:00.096","-198.325251E-6"
"0d 00:00:00.097","-160.854438E-6"
"0d 00:00:00.098","-226.090787E-6"
"0d 00:00:00.099","-245.923312E-6"
"0d 00:00:00.100","-153.596578E-6"
"0d 00:00:00.101","-18.144651E-6"
"0d 00:00:00.102","39.833838E-6"
"0d 00:00:00.103","-89.794922E-6"
"0d 00:00:00.104","-470.157436E-6"
"0d 00:00:00.105","-1.053571E-3"
"0d 00:00:00.106","-1.657408E-3"
"0d 00:00:00.107","-2.085706E-3"
"0d 00:00:00.108","-2.265634E-3"
"0d 00:00:00.109","-2.244704E-3"
"0d 00:00:00.110","-2.119802E-3"
"0d 00:00:00.111","-1.995574E-3"
"0d 00:00:00.112","-1.944685E-3"
"0d 00:00:00.113","-1.952786E-3"
"0d 00:00:00.114","-1.943841E-3"
"0d 00:00:00.115","-1.852358E-3"
"0d 00:00:00.116","-1.672177E-3"
"0d 00:00:00.117","-1.484232E-3"
"0d 00:00:00.118","-1.387264E-3"
"0d 00:00:00.119","-1.430811E-3"
"0d 00:00:00.120","-1.630487E-3"
"0d 00:00:00.121","-1.959285E-3"
"0d 00:00:00.122","-2.327495E-3"
"0d 00:00:00.123","-2.606838E-3"
"0d 00:00:00.124","-2.706422E-3"
"0d 00:00:00.125","-2.642536E-3"
"0d 00:00:00.126","-2.513498E-3"
"0d 00:00:00.127","-2.418218E-3"
"0d 00:00:00.128","-2.381338E-3"
"0d 00:00:00.129","-2.355766E-3"
"0d 00:00:00.130","-2.304455E-3"
"0d 00:00:00.131","-2.217614E-3"
"0d 00:00:00.132","-2.059882E-3"
"0d 00:00:00.133","-1.802566E-3"
"0d 00:00:00.134","-1.526598E-3"
"0d 00:00:00.135","-1.407940E-3"
"0d 00:00:00.136","-1.517062E-3"
"0d 00:00:00.137","-1.731590E-3"
"0d 00:00:00.138","-1.881474E-3"
"0d 00:00:00.139","-1.861050E-3"
"0d 00:00:00.140","-1.668295E-3"
"0d 00:00:00.141","-1.363212E-3"
"0d 00:00:00.142","-982.342947E-6"
"0d 00:00:00.143","-578.518978E-6"
"0d 00:00:00.144","-237.146364E-6"
"0d 00:00:00.145","-9.198916E-6"
"0d 00:00:00.146","151.233553E-6"
"0d 00:00:00.147","384.497807E-6"
"0d 00:00:00.148","789.250107E-6"
"0d 00:00:00.149","1.346755E-3"
"0d 00:00:00.150","1.928903E-3"
"0d 00:00:00.151","2.322515E-3"
"0d 00:00:00.152","2.372308E-3"
"0d 00:00:00.153","2.100813E-3"
"0d 00:00:00.154","1.675384E-3"
"0d 00:00:00.155","1.300001E-3"
"0d 00:00:00.156","1.106824E-3"
"0d 00:00:00.157","1.109440E-3"
"0d 00:00:00.158","1.241769E-3"
"0d 00:00:00.159","1.437816E-3"
"0d 00:00:00.160","1.639517E-3"
"0d 00:00:00.161","1.772606E-3"
"0d 00:00:00.162","1.812777E-3"
"0d 00:00:00.163","1.851261E-3"
"0d 00:00:00.164","2.010934E-3"
"0d 00:00:00.165","2.307071E-3"
"0d 00:00:00.166","2.628105E-3"
"0d 00:00:00.167","2.820101E-3"
"0d 00:00:00.168","2.764654E-3"
"0d 00:00:00.169","2.460583E-3"
"0d 00:00:00.170","2.060979E-3"
"0d 00:00:00.171","1.740874E-3"
"0d 00:00:00.172","1.571918E-3"
"0d 00:00:00.173","1.549722E-3"
